student_id,current_cgpa,target_cgpa,study_habits,level,semester,timetable_slots
69,2.15,2.17,Visual,300,First,"Fri: 8-10, Thu: 2-4"
70,3.97,4,Writing,300,First,"Tue: 11-1, Sat: 2-4"
71,3.54,3.88,Visual,200,First,"Sat: 11-1, Tue: 1-3"
72,2.4,2.41,Writing,300,Second,"Wed: 11-1, Mon: 9-12"
73,2.01,2.27,Reading,100,Second,"Sat: 2-4, Fri: 2-4"
74,3.63,3.74,Writing,200,Second,"Tue: 3-6, Fri: 2-4"
75,3.41,3.73,Reading,300,Second,"Sat: 2-4, Thu: 2-4"
76,3.46,3.55,Writing,200,First,"Wed: 9-12, Thu: 8-10"
77,3.54,3.89,Visual,100,Second,"Mon: 3-6, Sat: 3-6"
78,2.15,2.34,Writing,200,Second,"Thu: 11-1, Mon: 11-1"
79,2.72,3.19,Visual,200,Second,"Thu: 11-1, Sat: 3-6"
80,2.23,2.3,Writing,200,Second,"Fri: 11-1, Sat: 2-4"
81,3.73,3.9,Writing,200,Second,"Mon: 11-1, Wed: 11-1"
82,3.25,3.31,Auditory,100,First,"Mon: 2-4, Wed: 8-10"
83,2.66,3.12,Visual,400,First,"Sat: 1-3, Thu: 3-6"
84,2.13,2.57,Auditory,200,Second,"Fri: 11-1, Sat: 3-6"
85,2.62,2.75,Visual,200,First,"Mon: 3-6, Tue: 1-3"
86,2.65,2.98,Auditory,300,Second,"Fri: 11-1, Tue: 11-1"
87,3.46,3.87,Reading,200,Second,"Mon: 11-1, Fri: 2-4"
88,3.28,3.56,Writing,300,First,"Thu: 9-12, Tue: 8-10"
89,3.77,4,Visual,400,First,"Mon: 2-4, Wed: 11-1"
90,2.94,3.06,Visual,100,Second,"Mon: 10-12, Sat: 11-1"
91,2.24,2.29,Writing,100,Second,"Wed: 2-4, Thu: 10-12"
92,3.43,3.88,Visual,400,Second,"Wed: 11-1, Fri: 3-6"
93,3.52,3.97,Visual,100,First,"Mon: 8-10, Wed: 10-12"
94,3.12,3.44,Auditory,400,Second,"Tue: 10-12, Tue: 11-1"
95,3.54,3.71,Visual,400,Second,"Thu: 3-6, Fri: 1-3"
96,2.99,3.16,Reading,400,Second,"Wed: 3-6, Thu: 10-12"
97,3.05,3.41,Reading,100,First,"Tue: 10-12, Sat: 11-1"
98,2.86,3.31,Writing,300,Second,"Wed: 9-12, Fri: 3-6"
99,2.05,2.49,Visual,400,Second,"Wed: 10-12, Tue: 8-10"
100,2.22,2.61,Writing,200,First,"Mon: 2-4, Mon: 8-10"
